Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award,cc1_miles_Updated,cc2_miles_Updated,cc3_miles_Updated
252386,0,4,1,1,39787,13,0,0,7787,0,37500,2500,2500
550367,0,3,1,1,12500,13,50,1,7801,0,17500,2500,2500
12646,0,1,1,1,631,4,631,4,7787,0,2500,2500,2500
123867,0,3,1,1,25308,17,0,0,7759,0,17500,2500,2500
129871,0,3,1,1,15776,22,0,0,7752,0,17500,2500,2500
109380,0,1,1,1,7537,16,0,0,7749,0,2500,2500,2500
111157,0,4,1,1,32883,19,0,0,7771,0,37500,2500,2500
49238,0,4,1,1,38037,18,0,0,7801,1,37500,2500,2500
38896,0,5,1,1,76988,16,556,1,7771,1,50000,2500,2500
4340,0,1,1,1,32685,5,0,0,7733,1,2500,2500,2500
88443,0,1,1,1,1200,3,1200,3,6837,0,2500,2500,2500
8454,0,1,1,1,498,9,0,0,6821,0,2500,2500,2500
61990,0,1,1,1,1625,6,0,0,6833,0,2500,2500,2500
24093,0,1,1,1,1750,7,0,0,6819,0,2500,2500,2500
35418,0,5,1,1,58557,18,900,3,6813,1,50000,2500,2500
40284,0,1,1,1,7719,5,0,0,6827,1,2500,2500,2500
609477,0,3,1,1,21422,22,1200,8,6820,0,17500,2500,2500
62553,0,2,1,1,7672,16,700,1,6819,0,7500,2500,2500
48433,0,1,1,1,3500,4,500,1,6807,1,2500,2500,2500
20508,0,1,1,1,22250,8,1250,5,6794,1,2500,2500,2500
2000,0,1,1,1,2000,4,2000,4,6809,0,2500,2500,2500
78629,0,4,1,1,36679,25,0,0,6817,1,37500,2500,2500
143566,0,1,1,1,5000,5,1500,3,6785,1,2500,2500,2500
185549,0,5,1,1,110859,39,2950,16,6778,1,50000,2500,2500
16796,0,1,1,1,2875,16,0,0,6773,0,2500,2500,2500
57346,0,1,1,1,5560,23,0,0,6766,0,2500,2500,2500
102062,0,4,1,1,44247,16,0,0,6758,0,37500,2500,2500
22324,0,1,1,1,1375,4,0,0,6753,0,2500,2500,2500
64824,0,3,1,1,20184,13,0,0,6770,1,17500,2500,2500
25076,1182,5,1,1,57203,14,0,0,6750,1,50000,2500,2500
8053,0,1,1,1,0,0,0,0,6750,1,2500,2500,2500
35119,0,1,1,1,0,0,0,0,6749,0,2500,2500,2500
28667,0,1,1,1,3861,7,2050,5,6749,1,2500,2500,2500
34327,0,1,1,1,0,0,0,0,6745,0,2500,2500,2500
3734,0,5,1,1,61096,18,150,2,6760,1,50000,2500,2500
96627,1182,1,1,3,49059,26,2300,9,6738,1,2500,2500,17500
43498,0,1,1,1,0,0,0,0,6759,1,2500,2500,2500
84674,0,4,1,1,46335,14,50,1,6738,1,37500,2500,2500
15098,0,4,1,1,32917,26,550,3,6737,1,37500,2500,2500
181019,0,3,1,1,18415,15,0,0,7714,0,17500,2500,2500
298911,0,1,1,1,8550,11,2550,8,7714,1,2500,2500,2500
124198,0,5,1,1,66330,23,4833,10,7710,0,50000,2500,2500
56906,0,1,1,1,2015,13,0,0,7707,1,2500,2500,2500
295638,0,1,1,1,5422,20,818,2,7700,1,2500,2500,2500
67018,0,3,1,1,23260,25,0,0,7698,0,17500,2500,2500
143967,0,2,1,1,7346,11,0,0,7689,0,7500,2500,2500
969559,0,1,1,1,2500,3,1000,2,7718,1,2500,2500,2500
122705,0,3,1,1,24222,15,0,0,7682,1,17500,2500,2500
16583,0,1,1,1,2625,7,0,0,7682,1,2500,2500,2500
77540,0,1,1,1,1000,1,0,0,7683,0,2500,2500,2500
205126,0,5,1,1,126630,45,2250,10,7668,1,50000,2500,2500
81974,0,4,1,1,37266,18,1050,3,7661,1,37500,2500,2500
47258,0,3,1,1,24768,19,0,0,7659,1,17500,2500,2500
77699,0,4,1,1,42775,13,0,0,7654,0,37500,2500,2500
133954,500,4,1,1,37670,18,1500,3,7654,1,37500,2500,2500
602064,0,5,1,1,194753,26,2250,10,7652,1,50000,2500,2500
213150,0,4,1,1,56308,41,5200,14,7645,1,37500,2500,2500
48333,0,2,1,1,10123,14,0,0,6737,1,7500,2500,2500
142175,0,4,1,1,37461,22,0,0,6732,1,37500,2500,2500
17469,0,1,1,1,0,0,0,0,6730,1,2500,2500,2500
19823,0,1,1,1,1095,3,335,1,6730,1,2500,2500,2500
145074,0,1,1,1,8000,4,0,0,6746,1,2500,2500,2500
101101,0,1,1,1,10850,11,1850,6,6725,1,2500,2500,2500
125948,0,3,1,1,15155,15,0,0,6761,1,17500,2500,2500
259484,1776,1,1,1,19172,26,7172,23,6723,1,2500,2500,2500
129298,0,4,1,1,29099,15,0,0,6722,0,37500,2500,2500
103302,0,4,1,1,53552,22,700,3,6718,1,37500,2500,2500
160447,0,1,1,1,8578,25,0,0,6716,1,2500,2500,2500
15472,0,1,1,1,3500,14,0,0,6715,0,2500,2500,2500
39628,0,1,1,1,0,0,0,0,6711,0,2500,2500,2500
6112,0,1,1,1,0,0,0,0,6709,0,2500,2500,2500
31769,0,1,1,1,450,2,450,2,6707,0,2500,2500,2500
126787,0,4,1,1,35021,17,0,0,6701,0,37500,2500,2500
41547,0,3,1,1,16857,17,0,0,6697,0,17500,2500,2500
100640,0,1,1,1,7600,8,1600,5,6708,1,2500,2500,2500
18707,0,1,1,1,100,1,0,0,6693,0,2500,2500,2500
50593,0,5,1,1,58208,17,1500,2,6689,1,50000,2500,2500
84631,0,3,1,1,20415,17,0,0,6736,0,17500,2500,2500
24868,0,1,1,1,205,5,0,0,6689,0,2500,2500,2500
77097,0,4,1,1,42403,22,1718,4,6683,1,37500,2500,2500
930410,0,5,1,1,211284,18,2250,6,7640,1,50000,2500,2500
298121,0,5,1,1,60808,20,500,1,7640,0,50000,2500,2500
87474,0,1,1,1,4581,15,0,0,7634,0,2500,2500,2500
48707,0,4,1,1,37655,14,0,0,7631,1,37500,2500,2500
220081,0,4,1,1,52574,21,500,1,7626,0,37500,2500,2500
212976,0,3,1,1,19926,12,0,0,7624,0,17500,2500,2500
44182,0,3,1,1,12313,12,0,0,7619,1,17500,2500,2500
228829,0,5,1,1,59852,21,0,0,7612,1,50000,2500,2500
46823,0,1,1,1,5860,12,0,0,7613,0,2500,2500,2500
69110,0,3,1,1,18500,19,0,0,7598,0,17500,2500,2500
120700,0,5,1,1,55323,17,1500,1,7598,1,50000,2500,2500
152945,0,1,1,1,18604,6,3604,2,7598,1,2500,2500,2500
10302,0,4,1,1,30298,19,0,0,7591,1,37500,2500,2500
80331,0,3,1,1,15489,18,0,0,7634,1,17500,2500,2500
69882,0,1,1,1,180,6,0,0,7582,0,2500,2500,2500
95658,0,1,1,1,5269,18,0,0,7584,0,2500,2500,2500
402874,0,5,1,1,74800,15,0,0,7582,1,50000,2500,2500
370941,0,4,1,1,44615,16,0,0,7577,1,37500,2500,2500
21694,0,4,1,1,45230,20,700,2,7575,1,37500,2500,2500
71767,0,5,1,1,67335,13,0,0,7570,1,50000,2500,2500
35820,0,1,1,1,0,0,0,0,7575,0,2500,2500,2500
352508,0,3,1,1,23740,6,1000,2,7563,1,17500,2500,2500
149285,0,1,1,1,15656,13,3250,6,7561,1,2500,2500,2500
120941,0,4,1,1,42301,21,0,0,7588,0,37500,2500,2500
451673,0,4,1,1,43533,19,900,4,7575,1,37500,2500,2500
106961,0,1,1,1,7357,19,200,2,7572,1,2500,2500,2500
28086,1745,2,1,1,7368,12,0,0,7549,1,7500,2500,2500
60230,0,1,1,1,500,1,0,0,7544,1,2500,2500,2500
6663,0,1,1,1,1125,7,750,4,7575,1,2500,2500,2500
48145,0,1,1,1,10735,27,0,0,7540,0,2500,2500,2500
127807,0,3,1,1,17086,16,1500,3,7537,1,17500,2500,2500
32948,0,1,1,1,50,1,50,1,7569,0,2500,2500,2500
8933,0,2,1,1,8860,14,0,0,7533,1,7500,2500,2500
49885,0,3,1,1,23640,17,0,0,7533,0,17500,2500,2500
89999,0,3,1,1,11694,13,0,0,7530,0,17500,2500,2500
707079,0,4,1,1,57173,40,3450,12,7523,1,37500,2500,2500
211595,0,1,1,1,3250,8,0,0,7521,0,2500,2500,2500
410795,0,5,1,1,73679,31,0,0,7514,0,50000,2500,2500
72173,0,1,1,1,2954,13,232,1,7509,0,2500,2500,2500
123516,0,5,1,1,240544,31,500,2,7507,1,50000,2500,2500
143080,733,4,1,1,44373,38,3928,17,7575,1,37500,2500,2500
386061,0,5,1,1,107813,24,0,0,7500,1,50000,2500,2500
52738,2398,1,1,1,0,0,0,0,7498,0,2500,2500,2500
24523,0,1,1,1,100,1,0,0,7493,1,2500,2500,2500
134601,0,1,1,1,0,0,0,0,7493,0,2500,2500,2500
32742,0,5,1,1,61857,26,0,0,7488,1,50000,2500,2500
108341,0,3,1,1,19670,21,0,0,7488,0,17500,2500,2500
8669,0,1,3,1,11397,16,0,0,7486,1,2500,17500,2500
118940,0,4,1,1,36001,17,150,1,7484,1,37500,2500,2500
41385,0,4,1,1,26948,14,0,0,7481,1,37500,2500,2500
28621,0,2,1,1,13878,20,1400,10,7479,1,7500,2500,2500
16230,0,1,1,1,486,2,0,0,7477,0,2500,2500,2500
152881,0,5,1,1,79687,18,500,1,7474,1,50000,2500,2500
37348,0,1,1,1,0,0,0,0,7472,0,2500,2500,2500
51468,0,1,1,1,2278,9,0,0,7460,0,2500,2500,2500
95989,0,5,1,1,92159,30,1329,4,7518,1,50000,2500,2500
23184,1250,1,1,1,3694,12,1150,3,7467,1,2500,2500,2500
27381,0,3,1,1,18009,18,0,0,7524,1,17500,2500,2500
6854,0,1,1,1,0,0,0,0,7467,0,2500,2500,2500
201346,0,5,1,1,99612,34,600,4,7463,1,50000,2500,2500
31588,0,1,1,1,2947,8,0,0,7463,0,2500,2500,2500
204582,0,1,1,1,4671,14,0,0,7498,0,2500,2500,2500
8298,0,3,1,1,20087,15,0,0,7498,1,17500,2500,2500
10097,0,1,1,1,2700,1,2700,1,7498,0,2500,2500,2500
114356,0,4,1,1,27308,14,0,0,7456,0,37500,2500,2500
1344,0,1,1,1,1134,9,0,0,7498,0,2500,2500,2500
59797,0,1,1,1,7069,4,0,0,7444,0,2500,2500,2500
189053,0,3,1,1,24156,22,0,0,7439,1,17500,2500,2500
143481,0,4,1,1,45891,15,0,0,7437,0,37500,2500,2500
1302051,2706,5,1,1,90653,32,3050,7,7467,1,50000,2500,2500
229744,0,5,1,1,68754,35,550,2,7467,1,50000,2500,2500
75039,0,1,1,1,2750,10,250,1,7435,1,2500,2500,2500
20203,0,1,1,1,750,6,0,0,7467,0,2500,2500,2500
193976,0,3,1,1,10849,14,0,0,7416,0,17500,2500,2500
98224,0,2,1,1,5570,11,0,0,7467,0,7500,2500,2500
117329,0,1,2,1,6448,11,0,0,7416,1,2500,7500,2500
119239,0,4,1,1,36362,15,250,1,7467,1,37500,2500,2500
53715,0,2,1,1,7164,15,300,2,7416,0,7500,2500,2500
153747,0,5,1,1,58689,15,0,0,7409,0,50000,2500,2500
133309,0,3,1,1,23987,13,0,0,7415,1,17500,2500,2500
81380,0,5,1,1,56524,22,0,0,7404,1,50000,2500,2500
22074,0,1,1,1,6039,15,0,0,7404,0,2500,2500,2500
24051,0,2,1,1,8764,13,0,0,7395,1,7500,2500,2500
11449,0,2,1,1,9057,13,0,0,7397,1,7500,2500,2500
182317,0,2,1,1,19489,17,273,1,7397,1,7500,2500,2500
46184,0,1,1,1,3125,12,500,1,7388,0,2500,2500,2500
285116,0,1,1,1,8471,18,500,1,7406,1,2500,2500,2500
30962,0,5,1,1,97683,37,6400,18,7360,1,50000,2500,2500
15525,0,1,1,1,3853,6,0,0,7406,0,2500,2500,2500
163530,0,5,1,1,88987,25,0,0,7406,0,50000,2500,2500
2075,0,2,1,1,5002,14,0,0,7374,1,7500,2500,2500
227881,0,4,1,1,41186,13,0,0,7369,0,37500,2500,2500
118934,0,5,1,1,66222,37,2250,17,7354,0,50000,2500,2500
468175,0,5,1,1,141615,22,0,0,7348,1,50000,2500,2500
12526,0,4,1,1,56076,19,3850,11,7375,1,37500,2500,2500
176090,0,1,1,1,5300,9,2200,6,7344,0,2500,2500,2500
15221,0,1,1,1,4425,9,0,0,7361,1,2500,2500,2500
92875,0,5,1,1,60990,14,0,0,7344,1,50000,2500,2500
88702,0,2,1,1,9620,13,50,1,7406,0,7500,2500,2500
62882,0,1,1,1,1925,8,0,0,7375,0,2500,2500,2500
30015,0,1,1,1,5875,32,0,0,7341,0,2500,2500,2500
87293,0,3,1,1,21584,17,1050,2,7406,0,17500,2500,2500
45225,0,3,1,1,14711,15,0,0,7339,1,17500,2500,2500
96098,0,1,1,1,12500,4,0,0,7339,1,2500,2500,2500
236274,0,5,1,1,61515,12,0,0,7375,0,50000,2500,2500
423540,0,1,1,1,8534,14,2100,9,7375,0,2500,2500,2500
25279,0,2,1,1,14938,26,0,0,7327,1,7500,2500,2500
198137,0,1,1,1,6303,6,500,1,7323,0,2500,2500,2500
402312,0,5,1,1,77122,18,250,3,7375,1,50000,2500,2500
149733,0,1,1,1,605,3,500,1,7323,0,2500,2500,2500
70730,0,1,1,1,1319,12,0,0,7316,0,2500,2500,2500
164613,0,2,1,1,11095,13,0,0,7375,0,7500,2500,2500
47557,0,2,1,1,10267,18,200,3,7345,0,7500,2500,2500
35065,0,1,1,1,5400,5,1400,3,7311,1,2500,2500,2500
105769,0,3,1,1,23097,16,0,0,7345,1,17500,2500,2500
35900,0,1,1,1,0,0,0,0,7304,0,2500,2500,2500
43088,0,1,1,1,4000,1,0,0,7345,0,2500,2500,2500
58703,0,4,1,1,46473,34,950,4,7296,1,37500,2500,2500
70354,0,5,1,1,120907,22,0,0,7290,1,50000,2500,2500
145726,0,3,1,1,19019,15,0,0,7292,1,17500,2500,2500
121639,0,5,1,1,67286,7,0,0,7288,1,50000,2500,2500
70676,0,5,1,1,74993,15,0,0,7288,1,50000,2500,2500
18263,0,1,1,1,2100,4,1000,2,7285,0,2500,2500,2500
51250,0,1,1,1,0,0,0,0,7283,0,2500,2500,2500
1704838,0,1,1,1,17108,32,4823,23,7283,1,2500,2500,2500
12895,0,1,1,1,0,0,0,0,7277,0,2500,2500,2500
120073,0,3,1,1,12423,29,0,0,7276,1,17500,2500,2500
2003,0,1,1,1,980,2,0,0,7274,0,2500,2500,2500
22652,0,5,1,1,57642,14,0,0,7271,1,50000,2500,2500
168515,0,1,1,1,4600,4,0,0,7269,0,2500,2500,2500
44873,0,4,1,1,38740,18,850,2,7267,1,37500,2500,2500
190542,1745,1,1,1,8487,9,0,0,7267,0,2500,2500,2500
156230,0,1,1,1,5300,8,1300,5,7260,1,2500,2500,2500
79211,0,4,1,1,36776,14,0,0,7260,1,37500,2500,2500
98006,0,4,1,1,46349,20,2309,3,7332,1,37500,2500,2500
33982,0,5,1,1,68320,17,0,0,7255,1,50000,2500,2500
62998,0,2,1,1,11326,24,0,0,7253,0,7500,2500,2500
137908,0,5,1,1,57713,19,0,0,7250,1,50000,2500,2500
45586,0,4,1,1,37459,15,0,0,7246,0,37500,2500,2500
568174,0,5,1,1,67121,16,1000,2,7243,1,50000,2500,2500
145993,0,5,1,1,95082,17,500,1,7229,1,50000,2500,2500
294881,0,5,1,1,84800,20,0,0,7279,1,50000,2500,2500
12195,0,1,1,1,3875,17,0,0,7229,0,2500,2500,2500
16622,0,1,1,1,0,0,0,0,7229,0,2500,2500,2500
141813,0,4,1,1,39743,14,0,0,7254,0,37500,2500,2500
58139,500,4,1,1,38408,16,150,1,7227,1,37500,2500,2500
238868,0,3,1,1,20521,16,0,0,7220,0,17500,2500,2500
149286,0,4,1,1,42141,30,2400,13,7222,1,37500,2500,2500
35945,0,1,1,1,0,0,0,0,7220,0,2500,2500,2500
28218,0,1,1,1,750,4,750,4,7232,1,2500,2500,2500
7061,0,1,1,1,7100,12,0,0,7218,0,2500,2500,2500
217846,0,4,1,1,49198,20,0,0,7215,1,37500,2500,2500
364387,0,4,1,1,28200,27,0,0,7213,0,37500,2500,2500
125465,0,3,1,1,14750,9,0,0,7206,0,17500,2500,2500
94222,0,4,1,1,52081,24,0,0,7201,1,37500,2500,2500
123370,0,1,1,1,7478,16,0,0,7197,0,2500,2500,2500
383030,2998,1,1,1,8001,25,3226,15,7326,1,2500,2500,2500
112969,0,2,1,1,7572,7,0,0,7192,0,7500,2500,2500
46430,0,1,1,1,2100,4,500,1,7194,0,2500,2500,2500
179433,0,4,1,1,30476,15,0,0,7187,0,37500,2500,2500
20746,0,4,1,1,37534,17,0,0,7185,1,37500,2500,2500
61455,0,4,1,1,28765,17,0,0,7183,1,37500,2500,2500
714717,0,5,1,1,119162,20,1750,4,7183,1,50000,2500,2500
179559,0,3,1,1,17819,12,1000,2,7173,1,17500,2500,2500
119977,2556,1,1,1,9275,16,1400,4,7226,1,2500,2500,2500
16928,0,1,1,1,1000,1,0,0,7173,0,2500,2500,2500
65316,0,1,1,1,3917,10,0,0,7254,0,2500,2500,2500
766419,0,1,1,1,11398,3,398,1,7162,1,2500,2500,2500
52060,0,1,1,1,6500,3,0,0,7162,1,2500,2500,2500
84700,0,3,1,1,13544,17,0,0,7162,0,17500,2500,2500
205523,0,3,1,1,32404,20,1000,2,7159,1,17500,2500,2500
20457,0,4,1,1,51399,16,0,0,7193,1,37500,2500,2500
278727,0,1,1,1,21666,19,9166,16,7155,1,2500,2500,2500
50325,0,3,1,1,11930,14,0,0,7155,0,17500,2500,2500
455228,0,1,1,1,258,2,258,2,7141,1,2500,2500,2500
73849,0,2,1,1,11793,21,0,0,7250,0,7500,2500,2500
388455,0,5,1,1,114329,26,6078,8,7164,1,50000,2500,2500
138999,0,5,1,1,63738,29,600,4,7153,1,50000,2500,2500
65573,0,1,1,1,3875,23,0,0,7130,0,2500,2500,2500
172288,0,5,1,1,66879,10,0,0,7130,1,50000,2500,2500
47958,0,1,1,1,0,0,0,0,7130,0,2500,2500,2500
133002,0,3,1,1,15672,21,150,1,7117,0,17500,2500,2500
42363,0,1,1,1,0,0,0,0,7120,1,2500,2500,2500
133370,0,4,1,1,44299,18,0,0,7101,1,37500,2500,2500
278457,6727,4,1,1,57313,27,1000,2,7101,1,37500,2500,2500
105166,1374,4,1,1,37663,22,0,0,7120,0,37500,2500,2500
34956,0,1,1,1,0,0,0,0,7172,0,2500,2500,2500
46963,0,1,1,1,1500,5,0,0,7117,0,2500,2500,2500
55788,0,3,1,1,24831,12,0,0,7314,0,17500,2500,2500
174910,0,4,1,1,63960,20,200,1,7110,1,37500,2500,2500
13812,0,2,1,1,15149,39,0,0,7110,1,7500,2500,2500
38718,0,1,1,1,0,0,0,0,7314,0,2500,2500,2500
112501,0,1,1,2,19140,11,0,0,7101,0,2500,2500,7500
54005,0,1,1,1,1500,5,0,0,7099,0,2500,2500,2500
66863,0,4,1,1,36532,9,0,0,7099,1,37500,2500,2500
93045,0,3,1,1,17636,15,0,0,7092,0,17500,2500,2500
197328,0,5,1,1,60447,12,0,0,7092,0,50000,2500,2500
151301,0,4,1,1,37772,14,0,0,7092,0,37500,2500,2500
87938,0,1,1,1,11268,2,0,0,7085,1,2500,2500,2500
15283,0,1,1,1,1250,3,0,0,7132,0,2500,2500,2500
105423,0,3,1,1,20802,14,0,0,7078,0,17500,2500,2500
312512,0,1,1,1,100,1,100,1,7078,0,2500,2500,2500
13680,0,1,1,1,0,0,0,0,7073,1,2500,2500,2500
41279,0,3,1,1,14462,20,1650,6,7064,0,17500,2500,2500
25313,0,2,1,1,7491,13,0,0,7064,0,7500,2500,2500
148691,0,1,1,1,3000,3,1000,2,7064,0,2500,2500,2500
224081,0,4,1,1,40108,15,150,2,7059,0,37500,2500,2500
51088,0,1,1,1,0,0,0,0,7057,0,2500,2500,2500
95305,0,1,1,1,3189,13,0,0,7054,0,2500,2500,2500
22080,0,1,1,1,12200,47,1950,9,7050,1,2500,2500,2500
11660,0,1,1,1,140,1,0,0,7050,0,2500,2500,2500
222227,0,4,1,1,38127,14,500,1,7047,1,37500,2500,2500
16200,0,1,1,1,160,1,0,0,7043,0,2500,2500,2500
38227,0,2,1,1,8612,13,0,0,7036,0,7500,2500,2500
80214,0,1,1,1,500,1,500,1,7029,1,2500,2500,2500
53985,0,1,1,1,1000,1,0,0,7029,1,2500,2500,2500
14414,0,1,1,1,0,0,0,0,7024,0,2500,2500,2500
44457,0,1,1,1,225,3,0,0,7026,0,2500,2500,2500
161813,0,5,1,1,126941,20,0,0,7026,1,50000,2500,2500
138020,0,1,1,1,6568,15,0,0,7024,1,2500,2500,2500
107707,0,3,1,1,19407,25,2211,12,7024,0,17500,2500,2500
95656,0,5,1,1,62666,27,0,0,7019,1,50000,2500,2500
149678,0,1,1,1,0,0,0,0,7022,0,2500,2500,2500
15113,0,2,1,1,10574,19,0,0,7017,1,7500,2500,2500
231,0,1,1,1,29900,24,5300,15,7015,1,2500,2500,2500
22380,0,1,1,1,300,2,200,1,7010,0,2500,2500,2500
146263,0,3,1,1,20853,21,350,1,7001,1,17500,2500,2500
24598,0,1,1,1,0,0,0,0,7040,0,2500,2500,2500
76150,0,4,1,1,36907,17,0,0,6998,0,37500,2500,2500
377252,0,5,1,1,230629,30,6393,13,6996,1,50000,2500,2500
167670,0,1,3,1,15907,13,0,0,6994,0,2500,17500,2500
86853,0,4,1,1,42293,21,500,1,6980,0,37500,2500,2500
479989,0,4,1,1,66516,26,1600,6,6980,0,37500,2500,2500
28193,0,5,1,4,103456,32,0,0,6980,1,50000,2500,37500
67086,0,3,1,1,18157,16,0,0,6974,0,17500,2500,2500
35969,0,2,1,1,11665,21,0,0,6977,0,7500,2500,2500
53790,0,4,1,1,28717,19,0,0,8296,1,37500,2500,2500
198859,0,3,1,1,17855,14,500,1,8296,0,17500,2500,2500
91939,0,1,1,1,1244,8,0,0,8296,0,2500,2500,2500
88449,0,2,1,1,11402,18,1450,5,8296,0,7500,2500,2500
54842,0,3,1,1,20792,15,0,0,8296,1,17500,2500,2500
11189,0,1,2,1,9044,20,0,0,8296,1,2500,7500,2500
16999,0,1,1,1,140,1,0,0,8296,0,2500,2500,2500
114713,0,1,1,1,7142,18,0,0,8296,0,2500,2500,2500
1612,0,1,1,1,955,9,0,0,8296,0,2500,2500,2500
97763,0,1,1,1,2000,9,0,0,8296,0,2500,2500,2500
15129,0,1,1,1,0,0,0,0,8296,0,2500,2500,2500
15669,0,1,1,1,1205,4,0,0,8296,0,2500,2500,2500
26720,0,1,1,1,913,3,0,0,8296,0,2500,2500,2500
205292,0,2,1,1,5471,13,0,0,8296,0,7500,2500,2500
56635,0,1,1,1,1024,8,359,2,8296,0,2500,2500,2500
127297,0,2,1,1,8510,12,0,0,8296,0,7500,2500,2500
8927,0,1,1,1,0,0,0,0,8296,0,2500,2500,2500
